BOTTLE,20000814WHPSIOJJW
#code : jjward hyd_to_exchange.pl V1.0
#original HYD file: p16chy.txt   Thu Aug 10 14:31:46 2000
#original SUM file: p16csu.txt   Thu Aug 10 14:31:46 2000
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,/MILLE,,UMOL/KG,,UMOL/KG,
   31WTTUNES_3,  P16C,   222,  1,     27,     27,2,19910901,1535,-16.9942,-150.4943, 3768,    234.4,  21.4916,  35.9548,2,  35.9674,2,   -999.0,5,    171.0,2,     1.15,2,     4.12,2,     0.01,2,     0.47,2,    1.699,2,    0.876,2,    0.810,2,   1.7140,2,    -0.50,2,    149.6,2,   2080.2,2,   2364.6,2
   31WTTUNES_3,  P16C,   222,  1,     26,     26,2,19910901,1535,-16.9942,-150.4943, 3768,    258.2,  20.2479,  35.7960,2,  35.7590,2,   -999.0,5,    172.7,2,     1.56,2,     4.96,2,     0.01,2,     0.52,2,    1.661,2,    0.883,2,    0.749,2,   1.7810,2,     0.02,2,    142.8,2,   -999.0,9,   2350.9,2
   31WTTUNES_3,  P16C,   222,  1,     25,     25,2,19910901,1535,-16.9942,-150.4943, 3768,    309.2,  17.9885,  35.4818,2,  35.4722,2,   -999.0,5,    172.9,2,     2.17,2,     6.69,2,     0.01,2,     0.63,2,    1.586,6,    0.808,6,    0.695,2,   1.7430,2,     0.91,2,    119.2,2,   2086.6,2,   2333.6,2
   31WTTUNES_3,  P16C,   222,  1,     24,     24,2,19910901,1535,-16.9942,-150.4943, 3768,    358.2,  14.6768,  35.0332,2,  35.1427,2,   -999.0,5,    160.7,2,     4.55,2,    11.22,2,     0.00,2,     0.95,2,    1.271,2,    0.640,2,    0.547,2,   1.7460,2,     1.36,2,     92.5,2,   -999.0,9,   2305.1,2
   31WTTUNES_3,  P16C,   222,  1,     23,     23,2,19910901,1535,-16.9942,-150.4943, 3768,    408.7,  11.8933,  34.7700,2,  34.7020,2,   -999.0,5,    152.3,2,     9.51,2,    19.38,2,     0.00,2,     1.47,2,    0.758,2,    0.379,2,    0.318,2,   1.7800,2,     1.87,2,     29.4,2,   2145.1,2,   2290.7,2
   31WTTUNES_3,  P16C,   222,  1,     22,     22,2,19910901,1535,-16.9942,-150.4943, 3768,    507.7,   7.9104,  34.4715,2,  34.4746,2,   -999.0,5,    139.3,2,    21.21,2,    29.07,2,     0.00,2,     2.06,2,    0.154,4,    0.090,2,    0.081,2,   1.8000,2,     3.73,2,    -72.3,2,   -999.0,9,   2291.1,2
   31WTTUNES_3,  P16C,   222,  1,     21,     21,2,19910901,1535,-16.9942,-150.4943, 3768,    601.8,   6.4778,  34.4182,2,  34.4390,2,   -999.0,5,    150.1,2,    24.59,2,    30.51,2,     0.00,2,     2.12,2,    0.123,2,    0.085,2,    0.058,2,   1.7780,2,     4.05,2,    -88.5,2,   2196.2,2,   2293.9,2
   31WTTUNES_3,  P16C,   222,  1,     20,     20,2,19910901,1535,-16.9942,-150.4943, 3768,    698.1,   5.7386,  34.4421,2,  34.4383,2,   -999.0,5,    147.7,2,    36.30,2,    32.98,2,     0.00,2,     2.27,2,    0.039,2,    0.019,2, -999.000,1,-999.0000,1,  -999.00,1,   -126.5,2,   -999.0,9,   2306.9,2
   31WTTUNES_3,  P16C,   222,  1,     19,     19,2,19910901,1535,-16.9942,-150.4943, 3768,    793.6,   4.9133,  34.4612,2,  34.4628,2,   -999.0,5,    146.9,2,    49.60,2,    34.17,2,     0.00,2,     2.35,2,   -0.007,2,   -0.005,2,    0.005,2,   1.8120,2,    11.54,2,   -146.2,2,   2226.9,2,   2318.4,2
   31WTTUNES_3,  P16C,   222,  1,     18,     18,2,19910901,1535,-16.9942,-150.4943, 3768,    890.0,   4.3620,  34.4796,2,  34.4797,2,   -999.0,5,    146.0,2,    60.14,2,    35.06,2,     0.00,2,     2.41,2,   -0.007,2,   -0.005,2, -999.000,1,-999.0000,1,  -999.00,1,   -149.3,2,   -999.0,9,   2330.2,2
   31WTTUNES_3,  P16C,   222,  1,     17,     17,2,19910901,1535,-16.9942,-150.4943, 3768,    988.1,   3.8742,  34.5033,2,  34.5005,2,   -999.0,5,    145.5,2,    70.28,2,    35.61,2,     0.00,2,     2.44,2,   -0.008,2,   -0.005,2,    0.002,2,   1.8250,2,    16.72,2,   -171.5,2,   2253.1,2,   2339.5,2
   31WTTUNES_3,  P16C,   222,  1,     16,     16,2,19910901,1535,-16.9942,-150.4943, 3768,   1087.1,   3.6221,  34.5185,2,  34.5217,2,   -999.0,5,    144.0,2,    78.43,2,    35.95,2,     0.00,2,     2.47,2,    0.020,4,    0.007,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,9,   -999.0,9,   -999.0,9
   31WTTUNES_3,  P16C,   222,  1,     15,     15,2,19910901,1535,-16.9942,-150.4943, 3768,   1187.4,   3.3202,  34.5359,2,  34.5354,2,   -999.0,5,    143.9,2,    84.42,2,    36.24,2,     0.00,2,     2.49,2,    0.008,2,    0.000,6,   -0.002,2,   1.8450,2,    20.18,2,   -185.3,2,   2269.2,2,   2352.4,2
   31WTTUNES_3,  P16C,   222,  1,     14,     14,2,19910901,1535,-16.9942,-150.4943, 3768,   1291.8,   3.0705,  34.5560,2,  34.5553,2,   -999.0,5,    145.1,2,    91.19,2,    36.29,2,     0.00,2,     2.49,2, -999.000,1, -999.000,1, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   2363.7,2
   31WTTUNES_3,  P16C,   222,  1,     13,     13,2,19910901,1535,-16.9942,-150.4943, 3768,   1396.1,   2.8643,  34.5701,2,  34.5710,2,   -999.0,5,    145.9,2,    97.38,2,    36.34,2,     0.00,2,     2.48,2,   -0.001,2,    0.002,2, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   2281.4,2,   2369.0,2
   31WTTUNES_3,  P16C,   222,  1,     12,     12,2,19910901,1535,-16.9942,-150.4943, 3768,   1608.4,   2.5488,  34.5965,2,  34.5956,2,   -999.0,5,    147.6,2,   104.96,2,    36.29,2,     0.00,2,     2.48,2, -999.000,1, -999.000,1, -999.000,1,-999.0000,1,  -999.00,1,   -999.0,1,   -999.0,9,   2379.3,2
