13 120 8 2 0     2.699
13 120 8 3 0     2.964
13 120 8 4 0     3.414
13 120 8 5 0     2.906
13 120 8 6 0     2.609
13 120 8 7 0     2.042
13 120 8 8 0     1.536
13 120 8 9 0     1.425
13 120 810 0     1.336
13 120 811 0     1.702
13 120 812 0     1.782
13 120 813 0     2.064
13 120 814 0     2.478
13 120 815 0     3.231
13 120 816 0     3.396
13 120 817 0     3.098
13 120 818 0     2.829
13 120 819 0     2.103
13 120 820 0     1.615
13 120 821 0     1.221
13 120 822 0     0.630
13 120 823 0     0.715
13 120 824 0     1.252
14 120 8 1 0     1.602
14 120 8 2 0     2.861
14 120 8 3 0     3.154
14 120 8 4 0     3.432
14 120 8 5 0     3.146
14 120 8 6 0     2.936
14 120 8 7 0     2.262
14 120 8 8 0     2.293
14 120 8 9 0     1.718
14 120 810 0     1.098
14 120 811 0     1.120
14 120 812 0     1.562
14 120 813 0     1.693
14 120 814 0     2.137
14 120 815 0     2.490
14 120 816 0     2.955
14 120 817 0     2.855
14 120 818 0     3.090
14 120 819 0     2.759
14 120 820 0     1.659
14 120 821 0     1.532
14 120 822 0     1.259
14 120 823 0     1.191
14 120 824 0     1.166
15 120 8 1 0     1.378
15 120 8 2 0     2.262
15 120 8 3 0     2.745
15 120 8 4 0     3.032
15 120 8 5 0     3.597
15 120 8 6 0     3.059
15 120 8 7 0     2.768
15 120 8 8 0     2.588
15 120 8 9 0     1.908
15 120 810 0     1.318
15 120 811 0     1.274
15 120 812 0     1.004
15 120 813 0     1.471
15 120 814 0     1.661
15 120 815 0     1.778
15 120 816 0     2.623
15 120 817 0     2.907
15 120 818 0     3.054
15 120 819 0     2.459
15 120 820 0     2.200
15 120 821 0     1.810
15 120 822 0     1.440
15 120 823 0     1.305
15 120 824 0     1.386
16 120 8 1 0     1.619
16 120 8 2 0     2.208
16 120 8 3 0     2.096
16 120 8 4 0     2.644
16 120 8 5 0     3.022
16 120 8 6 0     3.721
16 120 8 7 0     3.605
16 120 8 8 0     3.207
16 120 8 9 0     2.614
16 120 810 0     1.793
16 120 811 0     1.693
16 120 812 0     1.061
16 120 813 0     0.728
16 120 814 0     1.199
16 120 815 0     1.600
16 120 816 0     1.922
16 120 817 0     2.439
16 120 818 0     2.372
16 120 819 0     2.848
16 120 820 0     2.930
16 120 821 0     2.711
16 120 822 0     1.900
16 120 823 0     2.080
16 120 824 0     1.322
17 120 8 1 0     1.275
17 120 8 2 0     1.771
17 120 8 3 0     2.334
17 120 8 4 0     2.649
17 120 8 5 0     3.232
17 120 8 6 0     3.115
17 120 8 7 0     3.126
17 120 8 8 0     3.680
17 120 8 9 0     2.836
17 120 810 0     2.616
17 120 811 0     2.276
17 120 812 0     1.622
17 120 813 0     0.805
17 120 814 0     0.718
17 120 815 0     0.873
17 120 816 0     0.899
17 120 817 0     1.537
17 120 818 0     2.171
17 120 819 0     2.201
17 120 820 0     2.558
17 120 821 0     2.520
17 120 822 0     2.216
17 120 823 0     2.624
17 120 824 0     2.364
18 120 8 1 0     1.653
18 120 8 2 0     2.048
18 120 8 3 0     2.008
18 120 8 4 0     2.379
18 120 8 5 0     2.887
18 120 8 6 0     2.681
18 120 8 7 0     3.294
18 120 8 8 0     3.481
18 120 8 9 0     3.217
18 120 810 0     2.958
18 120 811 0     2.892
18 120 812 0     1.996
18 120 813 0     1.579
18 120 814 0     0.776
18 120 815 0     0.415
18 120 816 0     0.689
18 120 817 0     0.825
18 120 818 0     1.531
18 120 819 0     2.018
18 120 820 0     2.573
18 120 821 0     2.335
18 120 822 0     2.718
18 120 823 0     2.972
18 120 824 0     2.532
19 120 8 1 0     2.296
